OTU_ID,Mr.N.s3.14,BS.VP.14,Cp.R.VP.14,Mr.R.s3.14,Sc.R.VP.14,Ja.R.s4.14,Sc.N.VP.14,Cp.E.VP.14,Sc.E.VP.14,BS.s3.14,Ja.N.s4.14,Mr.E.s3.14,Ja.E.s4.14,Cp.N.VP.14,Nl.R.15,Ss.E.15,Nl.N.15,Yr.B.15,Yr.R.15,Nl.E.15,Ss.R.15,At.R.15,Pg.R.15,Ss.N.15,Mr.N.15,Mr.R.15,Pg.N.15,Nl.B.15,Pg.E.15,Mr.E.15,At.N.15,Ja.R.15,Mr.B.15,Yr.E.15,At.B.15,At.E.15,Pg.B.15,Ja.B.15,Yr.N.15,Ss.B.15
OTU_420,36,0,0,1,0,0,1,0,5,0,50,23,0,0,0,0,1,6,7,110,22,1,2,67,21,4,2,4,3,0,8,0,10,17,169,0,2,4,23,1
OTU_233,103,6,1,552,30,0,3,0,1,4,0,0,1,0,2,0,0,6,35,0,0,0,0,0,36,11,0,3,0,0,0,1,3,0,5,0,0,8,0,1
OTU_82,6,1,2,1,1283,1,17,0,0,0,0,1,3,1,3,0,2,2,3,0,4,13,0,0,0,9,5,1,1,0,1,0,0,0,0,0,0,0,0,221
OTU_68,197,2769,4,38,4,13,770,0,6,6,3,7,4,8,1,0,22,10,3,0,1,6,7,156,0,0,250,0,0,1,903,10,0,0,1,1,42,4,0,22
OTU_96,0,0,2,1,1,1277,0,2,0,3,212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_145,1,0,2,1,1,1447,0,1,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_194,19,44,1,18,114,162,1,0,0,2,74,0,1,150,8,0,6,9,6,2,0,0,142,0,0,0,495,8,0,1,0,7,0,0,1,0,14,7,0,0
OTU_121,19,10,570,46,25,16,5,1587,26,3,32,1,5,51,16,0,4,6,11,7,7,13,18,1,0,4,17,3,339,0,2,0,0,1,1,2,0,0,0,28
OTU_1,18,19,28,29,1352,18,104,33,51410,48,16,25,77,22,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
OTU_89,0,594,0,1,0,1,0,0,0,1,0,1,0,2,1,1,1,1,0,2,295,2,0,643,0,1,0,1,0,1,3,0,0,0,0,1,0,0,0,1446
OTU_24,20,16,27,18,26,32,31,23,41,51450,24,16,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
OTU_47,3,3,3,4,3,2883,6,4,5,12,3663,2,9,4,1,0,0,1,220,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0
OTU_75,6,6,3,210,1,41,3,4,8,5,15,2750,10,1,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0
OTU_98,183,187,1,237,357,226,261,1829,186,14,765,17,11,623,143,1,112,60,79,99,0,182,261,23,21,195,87,668,107,2,64,26,225,13,16,2,11,9,202,16
